measurement_id,row,col,aod_055,tile_id,aod_datetime
309,75,344,-28672.0,h27v07,2023-10-17 04:40:00+00:00
310,75,344,-28672.0,h27v07,2023-10-17 04:40:00+00:00
6070,137,437,-28672.0,h27v07,2023-10-17 04:40:00+00:00
6071,137,437,-28672.0,h27v07,2023-10-17 04:40:00+00:00
11877,206,535,-28672.0,h27v07,2023-10-17 04:40:00+00:00
11878,206,535,-28672.0,h27v07,2023-10-17 04:40:00+00:00
17648,137,437,-28672.0,h27v07,2023-10-17 04:40:00+00:00
17649,137,437,-28672.0,h27v07,2023-10-17 04:40:00+00:00
23457,140,450,-28672.0,h27v07,2023-10-17 04:40:00+00:00
23458,140,450,-28672.0,h27v07,2023-10-17 04:40:00+00:00
29079,127,432,-28672.0,h27v07,2023-10-17 04:40:00+00:00
29080,127,432,-28672.0,h27v07,2023-10-17 04:40:00+00:00
34771,72,397,-28672.0,h27v07,2023-10-17 04:40:00+00:00
34772,72,397,-28672.0,h27v07,2023-10-17 04:40:00+00:00
38272,124,425,-28672.0,h27v07,2023-10-17 04:40:00+00:00
38273,124,425,-28672.0,h27v07,2023-10-17 04:40:00+00:00
44048,137,437,-28672.0,h27v07,2023-10-17 04:40:00+00:00
44049,137,437,-28672.0,h27v07,2023-10-17 04:40:00+00:00
53035,126,433,-28672.0,h27v07,2023-10-17 04:40:00+00:00
53036,126,433,-28672.0,h27v07,2023-10-17 04:40:00+00:00
61003,128,433,-28672.0,h27v07,2023-10-17 04:40:00+00:00
61004,128,433,-28672.0,h27v07,2023-10-17 04:40:00+00:00
120106,206,538,-28672.0,h27v07,2023-06-26 07:45:00+00:00
137812,145,445,-28672.0,h27v07,2023-06-26 07:45:00+00:00
163270,83,295,-28672.0,h27v07,2023-06-26 07:45:00+00:00
180547,171,466,-28672.0,h27v07,2023-06-26 07:45:00+00:00
197584,139,440,-28672.0,h27v07,2023-06-26 07:45:00+00:00
114114,206,538,-28672.0,h27v07,2022-04-19 07:05:00+00:00
114115,206,538,-28672.0,h27v07,2022-04-19 07:05:00+00:00
131800,145,445,-28672.0,h27v07,2022-04-19 07:05:00+00:00
131801,145,445,-28672.0,h27v07,2022-04-19 07:05:00+00:00
145774,143,434,-28672.0,h27v07,2022-04-19 07:05:00+00:00
145775,143,434,-28672.0,h27v07,2022-04-19 07:05:00+00:00
157249,83,295,632.0,h27v07,2022-04-19 07:05:00+00:00
157250,83,295,632.0,h27v07,2022-04-19 07:05:00+00:00
174635,171,466,-28672.0,h27v07,2022-04-19 07:05:00+00:00
174636,171,466,-28672.0,h27v07,2022-04-19 07:05:00+00:00
191629,139,440,-28672.0,h27v07,2022-04-19 07:05:00+00:00
191630,139,440,-28672.0,h27v07,2022-04-19 07:05:00+00:00
205094,180,395,357.0,h27v07,2022-04-19 07:05:00+00:00
205095,180,395,357.0,h27v07,2022-04-19 07:05:00+00:00
239565,79,404,-28672.0,h27v07,2022-04-19 07:05:00+00:00
239566,79,404,-28672.0,h27v07,2022-04-19 07:05:00+00:00
118040,206,538,177.0,h27v07,2023-01-21 07:45:00+00:00
118041,206,538,177.0,h27v07,2023-01-21 07:45:00+00:00
135738,145,445,174.0,h27v07,2023-01-21 07:45:00+00:00
135739,145,445,174.0,h27v07,2023-01-21 07:45:00+00:00
161195,83,295,-28672.0,h27v07,2023-01-21 07:45:00+00:00
161196,83,295,-28672.0,h27v07,2023-01-21 07:45:00+00:00
178521,171,466,185.0,h27v07,2023-01-21 07:45:00+00:00
178522,171,466,185.0,h27v07,2023-01-21 07:45:00+00:00
195520,139,440,172.0,h27v07,2023-01-21 07:45:00+00:00
195521,139,440,172.0,h27v07,2023-01-21 07:45:00+00:00
241821,48,387,168.0,h27v07,2023-01-21 07:45:00+00:00
241822,48,387,168.0,h27v07,2023-01-21 07:45:00+00:00
246324,218,445,-28672.0,h27v07,2023-01-21 07:45:00+00:00
246325,218,445,-28672.0,h27v07,2023-01-21 07:45:00+00:00
251110,76,344,-28672.0,h27v07,2023-01-21 07:45:00+00:00
251111,76,344,-28672.0,h27v07,2023-01-21 07:45:00+00:00
3727,75,344,265.0,h27v07,2024-01-24 03:00:00+00:00
9494,137,437,-28672.0,h27v07,2024-01-24 03:00:00+00:00
15273,206,535,406.0,h27v07,2024-01-24 03:00:00+00:00
21074,137,437,-28672.0,h27v07,2024-01-24 03:00:00+00:00
26726,140,450,-28672.0,h27v07,2024-01-24 03:00:00+00:00
32508,127,432,-28672.0,h27v07,2024-01-24 03:00:00+00:00
37776,72,397,-28672.0,h27v07,2024-01-24 03:00:00+00:00
41663,124,425,-28672.0,h27v07,2024-01-24 03:00:00+00:00
47466,137,437,-28672.0,h27v07,2024-01-24 03:00:00+00:00
51037,187,433,-28672.0,h27v07,2024-01-24 03:00:00+00:00
54838,126,433,-28672.0,h27v07,2024-01-24 03:00:00+00:00
58618,124,425,-28672.0,h27v07,2024-01-24 03:00:00+00:00
62792,128,433,-28672.0,h27v07,2024-01-24 03:00:00+00:00
66429,128,433,-28672.0,h27v07,2024-01-24 03:00:00+00:00
70062,129,432,-28672.0,h27v07,2024-01-24 03:00:00+00:00
73583,128,431,-28672.0,h27v07,2024-01-24 03:00:00+00:00
75952,143,434,-28672.0,h27v07,2024-01-24 03:00:00+00:00
75953,143,434,-28672.0,h27v07,2024-01-24 03:00:00+00:00
78290,219,443,354.0,h27v07,2024-01-24 03:00:00+00:00
78291,219,443,354.0,h27v07,2024-01-24 03:00:00+00:00
80625,75,343,265.0,h27v07,2024-01-24 03:00:00+00:00
80626,75,343,265.0,h27v07,2024-01-24 03:00:00+00:00
83291,147,446,-28672.0,h27v07,2024-01-24 03:00:00+00:00
85213,123,422,-28672.0,h27v07,2024-01-24 03:00:00+00:00
87076,73,345,237.0,h27v07,2024-01-24 03:00:00+00:00
121617,206,538,410.0,h27v07,2024-01-24 03:00:00+00:00
121618,206,538,410.0,h27v07,2024-01-24 03:00:00+00:00
139327,145,445,-28672.0,h27v07,2024-01-24 03:00:00+00:00
139328,145,445,-28672.0,h27v07,2024-01-24 03:00:00+00:00
164787,83,295,199.0,h27v07,2024-01-24 03:00:00+00:00
164788,83,295,199.0,h27v07,2024-01-24 03:00:00+00:00
182060,171,466,552.0,h27v07,2024-01-24 03:00:00+00:00
182061,171,466,552.0,h27v07,2024-01-24 03:00:00+00:00
199093,139,440,-28672.0,h27v07,2024-01-24 03:00:00+00:00
199094,139,440,-28672.0,h27v07,2024-01-24 03:00:00+00:00
208555,180,395,330.0,h27v07,2024-01-24 03:00:00+00:00
208556,180,395,330.0,h27v07,2024-01-24 03:00:00+00:00
243749,48,387,367.0,h27v07,2024-01-24 03:00:00+00:00
243750,48,387,367.0,h27v07,2024-01-24 03:00:00+00:00
248914,263,505,343.0,h27v07,2024-01-24 03:00:00+00:00
248915,263,505,343.0,h27v07,2024-01-24 03:00:00+00:00
3706,75,344,344.0,h27v07,2024-01-25 03:40:00+00:00
3707,75,344,344.0,h27v07,2024-01-25 03:40:00+00:00
9473,137,437,-28672.0,h27v07,2024-01-25 03:40:00+00:00
9474,137,437,-28672.0,h27v07,2024-01-25 03:40:00+00:00
15252,206,535,327.0,h27v07,2024-01-25 03:40:00+00:00
15253,206,535,327.0,h27v07,2024-01-25 03:40:00+00:00
21053,137,437,-28672.0,h27v07,2024-01-25 03:40:00+00:00
21054,137,437,-28672.0,h27v07,2024-01-25 03:40:00+00:00
26705,140,450,461.0,h27v07,2024-01-25 03:40:00+00:00
26706,140,450,461.0,h27v07,2024-01-25 03:40:00+00:00
32487,127,432,590.0,h27v07,2024-01-25 03:40:00+00:00
32488,127,432,590.0,h27v07,2024-01-25 03:40:00+00:00
37755,72,397,-28672.0,h27v07,2024-01-25 03:40:00+00:00
37756,72,397,-28672.0,h27v07,2024-01-25 03:40:00+00:00
41642,124,425,-28672.0,h27v07,2024-01-25 03:40:00+00:00
41643,124,425,-28672.0,h27v07,2024-01-25 03:40:00+00:00
47445,137,437,-28672.0,h27v07,2024-01-25 03:40:00+00:00
47446,137,437,-28672.0,h27v07,2024-01-25 03:40:00+00:00
51016,187,433,436.0,h27v07,2024-01-25 03:40:00+00:00
51017,187,433,436.0,h27v07,2024-01-25 03:40:00+00:00
54817,126,433,513.0,h27v07,2024-01-25 03:40:00+00:00
