id,city,name,entity,country,sources,isMobile,isAnalysis,parameters,sensorType,coordinates,lastUpdated,firstUpdated,measurements,bounds,manufacturers
388962,Lamphun,Li District Office,,TH,,False,,"[{'id': 2, 'unit': 'µg/m³', 'count': 3960, 'average': 51.32743034055727, 'lastValue': 61.4, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-04-27T10:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2022-11-26T00:00:00+00:00', 'manufacturers': None}, {'id': 1, 'unit': 'µg/m³', 'count': 1615, 'average': 72.0359133126935, 'lastValue': 25.0, 'parameter': 'pm10', 'displayName': 'pm10 µg/m³', 'lastUpdated': '2023-06-06T00:00:00+00:00', 'parameterId': 1, 'firstUpdated': '2022-11-26T00:00:00+00:00', 'manufacturers': None}]",,"{'latitude': 17.802222, 'longitude': 98.949722}",2024-04-27T10:00:00+00:00,2022-11-26T00:00:00+00:00,5575,"[98.949722, 17.802222, 98.949722, 17.802222]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]"
1864570,Chiang Mai,"Provincial Electricity Authority, Hot District Branch",,TH,,False,,"[{'id': 2, 'unit': 'µg/m³', 'count': 2447, 'average': 19.5, 'lastValue': 49.4, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-04-27T10:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2023-11-21T02:00:00+00:00', 'manufacturers': None}]",,"{'latitude': 18.172495, 'longitude': 98.61069}",2024-04-27T10:00:00+00:00,2023-11-21T02:00:00+00:00,2447,"[98.61069, 18.172495, 98.61069, 18.172495]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]"
388656,,"Chiang Mai Provincial Administrative Organization Office, Intersection (Southern Area)",,TH,,False,,"[{'id': 2, 'unit': 'µg/m³', 'count': 920, 'average': 39.64782608695652, 'lastValue': 84.0, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2023-01-25T02:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2022-11-25T09:00:00+00:00', 'manufacturers': None}, {'id': 1, 'unit': 'µg/m³', 'count': 920, 'average': 60.56739130434783, 'lastValue': 117.0, 'parameter': 'pm10', 'displayName': 'pm10 µg/m³', 'lastUpdated': '2023-01-25T02:00:00+00:00', 'parameterId': 1, 'firstUpdated': '2022-11-25T09:00:00+00:00', 'manufacturers': None}]",,"{'latitude': 18.175, 'longitude': 98.630833}",2023-01-25T02:00:00+00:00,2022-11-25T09:00:00+00:00,1840,"[98.630833, 18.175, 98.630833, 18.175]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]"
523937,Chiang Mai,Tha Kham Municipality Office,,TH,,False,,"[{'id': 1, 'unit': 'µg/m³', 'count': 975, 'average': 75.70666666666666, 'lastValue': 25.0, 'parameter': 'pm10', 'displayName': 'pm10 µg/m³', 'lastUpdated': '2023-06-02T04:00:00+00:00', 'parameterId': 1, 'firstUpdated': '2023-01-26T00:00:00+00:00', 'manufacturers': None}, {'id': 2, 'unit': 'µg/m³', 'count': 975, 'average': 54.48112820512821, 'lastValue': 13.4, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2023-06-02T04:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2023-01-26T00:00:00+00:00', 'manufacturers': None}]",,"{'latitude': 18.202222, 'longitude': 98.597222}",2023-06-02T04:00:00+00:00,2023-01-26T00:00:00+00:00,1950,"[98.597222, 18.202222, 98.597222, 18.202222]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]"
1236013,,"Soemngamwitthayakhom School 2, Some-Ngam, Lampang",,TH,,False,,"[{'id': 125, 'unit': 'particles/cm³', 'count': 930, 'average': 34374.28474934896, 'lastValue': 6883.041666666667, 'parameter': 'um003', 'displayName': 'um003 particles/cm³', 'lastUpdated': '2024-04-27T11:00:00+00:00', 'parameterId': 125, 'firstUpdated': '2024-03-07T00:00:00+00:00', 'manufacturers': None}, {'id': 98, 'unit': '%', 'count': 930, 'average': 44.50746512413025, 'lastValue': 27.227638721466064, 'parameter': 'relativehumidity', 'displayName': 'relativehumidity %', 'lastUpdated': '2024-04-27T11:00:00+00:00', 'parameterId': 98, 'firstUpdated': '2024-03-07T00:00:00+00:00', 'manufacturers': None}, {'id': 19, 'unit': 'µg/m³', 'count': 45, 'average': 138.13888888888889, 'lastValue': 74.33333333333333, 'parameter': 'pm1', 'displayName': 'pm1 µg/m³', 'lastUpdated': '2024-03-09T19:00:00+00:00', 'parameterId': 19, 'firstUpdated': '2024-03-07T23:00:00+00:00', 'manufacturers': None}, {'id': 1, 'unit': 'µg/m³', 'count': 45, 'average': 271.97222222222223, 'lastValue': 122.33333333333333, 'parameter': 'pm10', 'displayName': 'pm10 µg/m³', 'lastUpdated': '2024-03-09T19:00:00+00:00', 'parameterId': 1, 'firstUpdated': '2024-03-07T23:00:00+00:00', 'manufacturers': None}, {'id': 2, 'unit': 'µg/m³', 'count': 5851, 'average': 7.083333333333333, 'lastValue': 40.791666666666664, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-04-27T11:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2023-07-15T13:00:00+00:00', 'manufacturers': None}, {'id': 100, 'unit': 'c', 'count': 5851, 'average': 31.68458318710327, 'lastValue': 39.44444465637207, 'parameter': 'temperature', 'displayName': 'temperature c', 'lastUpdated': '2024-04-27T11:00:00+00:00', 'parameterId': 100, 'firstUpdated': '2023-07-15T13:00:00+00:00', 'manufacturers': None}, {'id': 1, 'unit': 'µg/m³', 'count': 872, 'average': 292.66041666666666, 'lastValue': 49.125, 'parameter': 'pm10', 'displayName': 'pm10 µg/m³', 'lastUpdated': '2024-04-27T11:00:00+00:00', 'parameterId': 1, 'firstUpdated': '2024-03-06T17:00:00+00:00', 'manufacturers': None}, {'id': 19, 'unit': 'µg/m³', 'count': 874, 'average': 153.68333333333334, 'lastValue': 27.791666666666668, 'parameter': 'pm1', 'displayName': 'pm1 µg/m³', 'lastUpdated': '2024-04-27T11:00:00+00:00', 'parameterId': 19, 'firstUpdated': '2024-03-06T17:00:00+00:00', 'manufacturers': None}]",,"{'latitude': 18.279805533636747, 'longitude': 99.48051196520771}",2024-04-27T11:00:00+00:00,2023-07-15T13:00:00+00:00,15398,"[99.48051196520771, 18.279805533636747, 99.48051196520771, 18.279805533636747]","[{'modelName': 'N/A', 'manufacturerName': 'OpenAQ admin'}, {'modelName': 'AirGradient Sensor', 'manufacturerName': 'AirGradient'}]"
225570,Lampang,"Meteorological stations, Lampang",,TH,,False,,"[{'id': 2, 'unit': 'µg/m³', 'count': 17741, 'average': 24.15918722786647, 'lastValue': 59.6, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-04-27T10:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2021-04-29T19:00:00+00:00', 'manufacturers': None}, {'id': 1, 'unit': 'µg/m³', 'count': 10305, 'average': 39.983600194080545, 'lastValue': 161.0, 'parameter': 'pm10', 'displayName': 'pm10 µg/m³', 'lastUpdated': '2023-04-16T11:00:00+00:00', 'parameterId': 1, 'firstUpdated': '2021-04-29T19:00:00+00:00', 'manufacturers': None}, {'id': 9, 'unit': 'ppm', 'count': 13912, 'average': 0.001838660923448982, 'lastValue': 0.004, 'parameter': 'so2', 'displayName': 'so2 ppm', 'lastUpdated': '2023-08-18T12:00:00+00:00', 'parameterId': 9, 'firstUpdated': '2021-04-29T19:00:00+00:00', 'manufacturers': None}, {'id': 10, 'unit': 'ppm', 'count': 17773, 'average': 0.022691188183332375, 'lastValue': 0.067, 'parameter': 'o3', 'displayName': 'o3 ppm', 'lastUpdated': '2024-04-27T10:00:00+00:00', 'parameterId': 10, 'firstUpdated': '2021-04-29T19:00:00+00:00', 'manufacturers': None}]",,"{'latitude': 18.2783333, 'longitude': 99.5064666}",2024-04-27T10:00:00+00:00,2021-04-29T19:00:00+00:00,59731,"[99.5064666, 18.2783333, 99.5064666, 18.2783333]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]"
1405439,,"Chomthong School 1, Chomthong, Chiang Mai",,TH,,False,,"[{'id': 2, 'unit': 'µg/m³', 'count': 3269, 'average': 9.3, 'lastValue': 41.125, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-04-27T11:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2023-08-09T02:00:00+00:00', 'manufacturers': None}, {'id': 100, 'unit': 'c', 'count': 1602, 'average': 27.170333099365234, 'lastValue': 34.59874947865804, 'parameter': 'temperature', 'displayName': 'temperature c', 'lastUpdated': '2024-04-27T11:00:00+00:00', 'parameterId': 100, 'firstUpdated': '2023-08-09T02:00:00+00:00', 'manufacturers': None}, {'id': 19, 'unit': 'µg/m³', 'count': 945, 'average': 33.483333333333334, 'lastValue': 26.666666666666668, 'parameter': 'pm1', 'displayName': 'pm1 µg/m³', 'lastUpdated': '2024-04-27T11:00:00+00:00', 'parameterId': 19, 'firstUpdated': '2024-03-06T17:00:00+00:00', 'manufacturers': None}, {'id': 125, 'unit': 'particles/cm³', 'count': 938, 'average': 22596.854166666668, 'lastValue': 5849.791666666667, 'parameter': 'um003', 'displayName': 'um003 particles/cm³', 'lastUpdated': '2024-04-27T11:00:00+00:00', 'parameterId': 125, 'firstUpdated': '2024-03-07T00:00:00+00:00', 'manufacturers': None}, {'id': 1, 'unit': 'µg/m³', 'count': 945, 'average': 64.83541666666667, 'lastValue': 48.708333333333336, 'parameter': 'pm10', 'displayName': 'pm10 µg/m³', 'lastUpdated': '2024-04-27T11:00:00+00:00', 'parameterId': 1, 'firstUpdated': '2024-03-06T17:00:00+00:00', 'manufacturers': None}, {'id': 98, 'unit': '%', 'count': 938, 'average': 44.366215864817306, 'lastValue': 43.58541679382324, 'parameter': 'relativehumidity', 'displayName': 'relativehumidity %', 'lastUpdated': '2024-04-27T11:00:00+00:00', 'parameterId': 98, 'firstUpdated': '2024-03-07T00:00:00+00:00', 'manufacturers': None}]",,"{'latitude': 18.435156957109033, 'longitude': 98.67718182473789}",2024-04-27T11:00:00+00:00,2023-08-09T02:00:00+00:00,8637,"[98.67718182473789, 18.435156957109033, 98.67718182473789, 18.435156957109033]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]"
225693,Chiang Mai,"Debaratana Vejjanukul Hospital, Mae Chaem",,TH,,False,,"[{'id': 1, 'unit': 'µg/m³', 'count': 6950, 'average': 44.2558273381295, 'lastValue': 29.0, 'parameter': 'pm10', 'displayName': 'pm10 µg/m³', 'lastUpdated': '2023-06-04T01:00:00+00:00', 'parameterId': 1, 'firstUpdated': '2021-04-29T19:00:00+00:00', 'manufacturers': None}, {'id': 2, 'unit': 'µg/m³', 'count': 9297, 'average': 29.126370157819224, 'lastValue': 48.7, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-04-27T10:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2021-04-29T19:00:00+00:00', 'manufacturers': None}]",,"{'latitude': 18.498333, 'longitude': 98.379444}",2024-04-27T10:00:00+00:00,2021-04-29T19:00:00+00:00,16247,"[98.379444, 18.498333, 98.379444, 18.498333]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]"
225655,Lamphun,"Meteorological Staions, Lamphun",,TH,,False,,"[{'id': 8, 'unit': 'ppm', 'count': 10938, 'average': 0.3604991771804713, 'lastValue': 0.29, 'parameter': 'co', 'displayName': 'co ppm', 'lastUpdated': '2023-04-23T19:00:00+00:00', 'parameterId': 8, 'firstUpdated': '2021-04-29T19:00:00+00:00', 'manufacturers': None}, {'id': 1, 'unit': 'µg/m³', 'count': 12625, 'average': 37.27009900990099, 'lastValue': 115.0, 'parameter': 'pm10', 'displayName': 'pm10 µg/m³', 'lastUpdated': '2023-04-20T23:00:00+00:00', 'parameterId': 1, 'firstUpdated': '2021-04-29T19:00:00+00:00', 'manufacturers': None}, {'id': 2, 'unit': 'µg/m³', 'count': 17395, 'average': 21.612951985773563, 'lastValue': 46.6, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-04-27T10:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2021-04-29T19:00:00+00:00', 'manufacturers': None}, {'id': 9, 'unit': 'ppm', 'count': 16454, 'average': 0.0010770437784402784, 'lastValue': 0.0, 'parameter': 'so2', 'displayName': 'so2 ppm', 'lastUpdated': '2024-04-27T10:00:00+00:00', 'parameterId': 9, 'firstUpdated': '2021-04-30T04:00:00+00:00', 'manufacturers': None}, {'id': 7, 'unit': 'ppm', 'count': 16580, 'average': 0.005508595092983246, 'lastValue': 0.001, 'parameter': 'no2', 'displayName': 'no2 ppm', 'lastUpdated': '2024-04-27T10:00:00+00:00', 'parameterId': 7, 'firstUpdated': '2021-04-29T19:00:00+00:00', 'manufacturers': None}, {'id': 10, 'unit': 'ppm', 'count': 12336, 'average': 0.018472486962776664, 'lastValue': 0.0, 'parameter': 'o3', 'displayName': 'o3 ppm', 'lastUpdated': '2024-01-10T05:00:00+00:00', 'parameterId': 10, 'firstUpdated': '2021-04-29T19:00:00+00:00', 'manufacturers': None}]",,"{'latitude': 18.567194, 'longitude': 99.038639}",2024-04-27T10:00:00+00:00,2021-04-29T19:00:00+00:00,86328,"[99.038639, 18.567194, 99.038639, 18.567194]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]"
2461311,,The Mud House by CMG,,TH,,False,,"[{'id': 1, 'unit': 'µg/m³', 'count': 579, 'average': 116.02689704895019, 'lastValue': 60.63050619761149, 'parameter': 'pm10', 'displayName': 'pm10 µg/m³', 'lastUpdated': '2024-04-27T11:00:00+00:00', 'parameterId': 1, 'firstUpdated': '2024-03-06T17:00:00+00:00', 'manufacturers': None}, {'id': 19, 'unit': 'µg/m³', 'count': 579, 'average': 64.78511878649394, 'lastValue': 31.13720242182414, 'parameter': 'pm1', 'displayName': 'pm1 µg/m³', 'lastUpdated': '2024-04-27T11:00:00+00:00', 'parameterId': 19, 'firstUpdated': '2024-03-06T17:00:00+00:00', 'manufacturers': None}, {'id': 19, 'unit': 'µg/m³', 'count': 44, 'average': 77.77832412719727, 'lastValue': 46.30282751719157, 'parameter': 'pm1', 'displayName': 'pm1 µg/m³', 'lastUpdated': '2024-03-09T19:00:00+00:00', 'parameterId': 19, 'firstUpdated': '2024-03-08T00:00:00+00:00', 'manufacturers': None}, {'id': 2, 'unit': 'µg/m³', 'count': 901, 'average': 30.040536046028137, 'lastValue': 49.73809560139974, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-04-27T11:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2024-02-22T09:00:00+00:00', 'manufacturers': None}, {'id': 100, 'unit': 'c', 'count': 901, 'average': 27.937975883483887, 'lastValue': 36.60074361165365, 'parameter': 'temperature', 'displayName': 'temperature c', 'lastUpdated': '2024-04-27T11:00:00+00:00', 'parameterId': 100, 'firstUpdated': '2024-02-22T09:00:00+00:00', 'manufacturers': None}, {'id': 125, 'unit': 'particles/cm³', 'count': 635, 'average': 17737.629394531246, 'lastValue': 7360.077392578125, 'parameter': 'um003', 'displayName': 'um003 particles/cm³', 'lastUpdated': '2024-04-27T11:00:00+00:00', 'parameterId': 125, 'firstUpdated': '2024-03-07T00:00:00+00:00', 'manufacturers': None}, {'id': 1, 'unit': 'µg/m³', 'count': 44, 'average': 147.88050503200955, 'lastValue': 83.67991065979004, 'parameter': 'pm10', 'displayName': 'pm10 µg/m³', 'lastUpdated': '2024-03-09T19:00:00+00:00', 'parameterId': 1, 'firstUpdated': '2024-03-08T00:00:00+00:00', 'manufacturers': None}, {'id': 98, 'unit': '%', 'count': 635, 'average': 56.191517750422165, 'lastValue': 25.69196430842082, 'parameter': 'relativehumidity', 'displayName': 'relativehumidity %', 'lastUpdated': '2024-04-27T11:00:00+00:00', 'parameterId': 98, 'firstUpdated': '2024-03-07T00:00:00+00:00', 'manufacturers': None}]",,"{'latitude': 18.70707013718418, 'longitude': 98.91531793782238}",2024-04-27T11:00:00+00:00,2024-02-22T09:00:00+00:00,4318,"[98.91531793782238, 18.70707013718418, 98.91531793782238, 18.70707013718418]","[{'modelName': 'AirGradient Sensor', 'manufacturerName': 'AirGradient'}]"
2429011,,The Mud House by CMG,,TH,,False,,"[{'id': 2, 'unit': 'µg/m³', 'count': 118, 'average': 27.53333282470703, 'lastValue': 75.17946497599284, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-02-20T22:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2024-02-15T06:00:00+00:00', 'manufacturers': None}, {'id': 100, 'unit': 'c', 'count': 118, 'average': 26.46666717529297, 'lastValue': 23.811606884002686, 'parameter': 'temperature', 'displayName': 'temperature c', 'lastUpdated': '2024-02-20T22:00:00+00:00', 'parameterId': 100, 'firstUpdated': '2024-02-15T06:00:00+00:00', 'manufacturers': None}]",,"{'latitude': 18.7069018, 'longitude': 98.9153218}",2024-02-20T22:00:00+00:00,2024-02-15T06:00:00+00:00,236,"[98.9153218, 18.7069018, 98.9153218, 18.7069018]","[{'modelName': 'AirGradient Sensor', 'manufacturerName': 'AirGradient'}]"
