y_pm25,x_aod,sensor_type
12.1,110.0,low-cost sensor
14.2,110.0,low-cost sensor
15.1,247.0,low-cost sensor
15.3,247.0,low-cost sensor
18.0,275.0,low-cost sensor
22.0,275.0,low-cost sensor
9.5,64.0,low-cost sensor
9.4,64.0,low-cost sensor
9.0,119.0,low-cost sensor
8.2,119.0,low-cost sensor
11.9,146.0,low-cost sensor
14.3,146.0,low-cost sensor
3.6,181.0,low-cost sensor
5.4,181.0,low-cost sensor
8.2,181.0,low-cost sensor
4.9,131.0,low-cost sensor
2.9,131.0,low-cost sensor
0.2,118.0,low-cost sensor
0.1,118.0,low-cost sensor
29.8,124.0,low-cost sensor
27.8,124.0,low-cost sensor
20.5,40.0,low-cost sensor
23.2,40.0,low-cost sensor
25.7,66.0,low-cost sensor
26.0,66.0,low-cost sensor
22.0,44.0,low-cost sensor
22.6,44.0,low-cost sensor
22.5,44.0,low-cost sensor
27.4,120.0,low-cost sensor
31.1,120.0,low-cost sensor
32.8,120.0,low-cost sensor
19.8,154.0,low-cost sensor
18.7,154.0,low-cost sensor
21.8,175.0,low-cost sensor
22.5,175.0,low-cost sensor
23.6,189.0,low-cost sensor
29.5,189.0,low-cost sensor
30.8,207.0,low-cost sensor
30.0,207.0,low-cost sensor
18.8,173.0,low-cost sensor
16.6,173.0,low-cost sensor
18.8,186.0,low-cost sensor
20.0,186.0,low-cost sensor
10.2,25.0,low-cost sensor
10.2,25.0,low-cost sensor
10.5,40.0,low-cost sensor
17.5,40.0,low-cost sensor
16.6,95.0,low-cost sensor
12.7,95.0,low-cost sensor
11.4,76.0,low-cost sensor
12.6,76.0,low-cost sensor
10.8,17.0,low-cost sensor
10.4,17.0,low-cost sensor
10.8,72.0,low-cost sensor
11.2,72.0,low-cost sensor
12.0,129.0,low-cost sensor
13.7,129.0,low-cost sensor
13.7,148.0,low-cost sensor
10.8,148.0,low-cost sensor
13.1,249.0,low-cost sensor
13.5,249.0,low-cost sensor
21.3,190.0,low-cost sensor
22.5,190.0,low-cost sensor
16.1,208.0,low-cost sensor
15.1,208.0,low-cost sensor
22.5,245.0,low-cost sensor
21.7,245.0,low-cost sensor
17.3,125.0,low-cost sensor
15.9,125.0,low-cost sensor
19.6,134.0,low-cost sensor
22.3,134.0,low-cost sensor
24.2,198.0,low-cost sensor
25.0,198.0,low-cost sensor
18.1,152.0,low-cost sensor
21.7,152.0,low-cost sensor
15.2,207.0,low-cost sensor
20.0,132.0,low-cost sensor
15.5,132.0,low-cost sensor
19.4,231.0,low-cost sensor
13.4,231.0,low-cost sensor
12.0,79.0,low-cost sensor
22.0,67.0,low-cost sensor
26.7,67.0,low-cost sensor
28.7,119.0,low-cost sensor
29.6,119.0,low-cost sensor
31.9,152.0,low-cost sensor
34.2,158.0,low-cost sensor
35.2,158.0,low-cost sensor
37.8,140.0,low-cost sensor
37.9,140.0,low-cost sensor
31.7,52.0,low-cost sensor
36.8,152.0,low-cost sensor
36.4,152.0,low-cost sensor
39.8,152.0,low-cost sensor
30.0,170.0,low-cost sensor
33.1,170.0,low-cost sensor
28.0,65.0,low-cost sensor
32.7,111.0,low-cost sensor
33.5,111.0,low-cost sensor
19.3,160.0,low-cost sensor
25.3,160.0,low-cost sensor
25.3,76.0,low-cost sensor
29.5,76.0,low-cost sensor
22.5,190.0,low-cost sensor
25.5,190.0,low-cost sensor
